,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,22,7,2671,9,12,4,1,1,4,1,25,0,39,39,0
1,33,6,2926,9,12,2,4,0,4,1,0,0,12,39,0
2,21,4,14086,11,8,0,6,1,4,1,0,0,39,39,0
3,36,4,15336,1,6,2,6,0,2,1,0,0,39,39,0
4,11,4,19355,9,12,2,10,5,2,0,0,0,39,5,0
5,20,4,17700,12,13,2,4,5,4,0,0,0,39,39,0
6,32,4,8536,6,4,3,8,1,2,0,0,0,15,23,0
7,35,6,13620,11,8,2,4,0,4,1,0,0,44,39,1
8,14,4,1318,12,13,4,10,1,4,0,105,0,49,39,1
9,25,4,8460,9,12,2,4,0,4,1,79,0,39,39,1
10,20,4,17530,15,9,2,4,0,2,1,0,0,76,39,1
11,13,7,7077,9,12,2,10,0,1,1,0,0,39,19,1
12,6,4,5772,9,12,4,1,3,4,0,0,0,29,39,0
13,15,4,13217,7,11,4,12,1,2,1,0,0,49,39,0
14,23,4,5722,8,10,2,3,0,1,1,0,0,39,0,1
15,17,4,15963,5,3,2,14,0,0,1,0,0,44,26,0
16,8,6,10163,11,8,4,5,3,4,1,0,0,34,39,0
17,15,4,11257,11,8,4,7,4,4,1,0,0,39,39,0
18,21,4,314,1,6,2,12,0,4,1,0,0,49,39,0
19,26,6,17974,12,13,0,4,4,4,0,0,0,44,39,1
20,23,4,12044,10,15,2,10,0,4,1,0,0,59,39,1
21,37,4,18302,11,8,5,8,4,2,0,0,0,19,39,0
22,18,1,2636,6,4,2,5,0,2,1,0,0,39,39,0
23,26,4,5306,1,6,2,14,0,4,1,0,54,39,39,0
24,42,4,4613,11,8,0,13,4,4,0,0,0,39,39,0
25,39,2,14178,9,12,2,13,0,4,1,0,0,39,39,1
26,2,4,9263,11,8,4,3,3,4,1,0,0,39,39,0
27,37,0,10524,15,9,2,0,0,1,1,0,0,59,35,1
28,22,4,20071,11,8,0,4,1,4,1,0,0,76,39,0
29,32,4,12029,11,8,2,3,0,4,1,0,0,39,39,0
